matchId,tier_scraped_from,rank_scraped_from,did_meta_team_win
LA1_1657026883,DIAMOND,DIAMOND II,True
LA1_1657030552,DIAMOND,DIAMOND II,True
LA1_1657032785,DIAMOND,DIAMOND II,True
LA1_1657037122,DIAMOND,DIAMOND II,True
LA1_1657039794,DIAMOND,DIAMOND II,False
LA1_1657043388,DIAMOND,DIAMOND II,False
LA1_1657048054,DIAMOND,DIAMOND II,True
LA1_1657050286,DIAMOND,DIAMOND II,False
LA1_1657053685,DIAMOND,DIAMOND II,False
LA1_1657903844,DIAMOND,DIAMOND II,False
LA1_1657909162,DIAMOND,DIAMOND II,False
LA1_1657942387,DIAMOND,DIAMOND II,False
LA1_1658017341,DIAMOND,DIAMOND II,True
LA1_1658022311,DIAMOND,DIAMOND II,False
LA1_1658034341,DIAMOND,DIAMOND II,True
NA1_4844997141,IRON,IRON III,True
NA1_4847067517,IRON,IRON II,True
NA1_4847140329,IRON,IRON II,True
NA1_4847494595,BRONZE,BRONZE IV,True
NA1_4848000256,BRONZE,BRONZE II,False
NA1_4848028520,BRONZE,BRONZE II,True
NA1_4849434934,BRONZE,BRONZE I,False
NA1_4849702937,BRONZE,BRONZE IV,False
NA1_4850695741,BRONZE,BRONZE IV,False
NA1_4851615113,BRONZE,BRONZE IV,True
NA1_4852534575,BRONZE,BRONZE IV,True
NA1_4852780124,BRONZE,BRONZE II,True
NA1_4853948451,IRON,IRON II,True
NA1_4854730215,IRON,IRON III,True
NA1_4854776659,IRON,IRON III,True
NA1_4854964542,IRON,IRON II,True
NA1_4856271432,IRON,IRON II,True
NA1_4856344160,IRON,IRON II,True
NA1_4856923724,IRON,IRON II,True
NA1_4856953838,IRON,IRON III,True
NA1_4856972169,IRON,IRON III,True
NA1_4859971001,IRON,IRON II,False
NA1_4861018988,IRON,IRON III,True
NA1_4866851459,GOLD,GOLD I,False
NA1_4867860915,GOLD,GOLD I,False
NA1_4867882330,GOLD,GOLD I,True
NA1_4868381993,BRONZE,BRONZE II,True
NA1_4868417559,BRONZE,BRONZE II,False
NA1_4868872542,GOLD,GOLD I,True
NA1_4868901372,GOLD,GOLD I,False
NA1_4868925168,GOLD,GOLD I,True
NA1_4871259568,BRONZE,BRONZE II,True
NA1_4871285495,BRONZE,BRONZE II,True
NA1_4871326050,BRONZE,BRONZE II,True
NA1_4871829097,SILVER,SILVER I,True
NA1_4871849326,SILVER,SILVER I,False
NA1_4871869707,SILVER,SILVER I,False
NA1_4875837733,IRON,IRON III,False
NA1_4878302077,SILVER,SILVER I,True
NA1_4878336196,SILVER,SILVER I,False
NA1_4878379176,SILVER,SILVER I,False
NA1_4880258696,BRONZE,BRONZE II,True
NA1_4883582394,SILVER,SILVER III,False
NA1_4883678679,SILVER,SILVER III,False
NA1_4883739979,SILVER,SILVER III,False
NA1_4883798732,SILVER,SILVER III,False
NA1_4885296204,GOLD,GOLD I,True
NA1_4887548797,BRONZE,BRONZE I,False
NA1_4888336806,GOLD,GOLD IV,False
NA1_4892328853,IRON,IRON I,False
NA1_4892382971,IRON,IRON I,False
NA1_4892424819,IRON,IRON I,False
NA1_4893960596,SILVER,SILVER I,False
NA1_4895330558,GOLD,GOLD I,True
NA1_4896070431,GOLD,GOLD I,False
NA1_4896250572,IRON,IRON II,True
NA1_4896280539,IRON,IRON II,True
NA1_4903787997,SILVER,SILVER I,False
NA1_4903789703,SILVER,SILVER I,False
NA1_4903805983,SILVER,SILVER I,False
NA1_4907053833,PLATINUM,PLATINUM IV,True
NA1_4907614563,PLATINUM,PLATINUM IV,False
NA1_4907634971,PLATINUM,PLATINUM IV,True
NA1_4909423288,PLATINUM,PLATINUM IV,False
NA1_4909433547,PLATINUM,PLATINUM IV,True
NA1_4910465684,BRONZE,BRONZE II,True
NA1_4911252558,SILVER,SILVER I,True
NA1_4913291993,SILVER,SILVER I,False
NA1_4913306254,SILVER,SILVER I,False
NA1_4913320352,SILVER,SILVER I,True
NA1_4913331485,SILVER,SILVER I,False
NA1_4913360763,SILVER,SILVER I,False
NA1_4914924036,SILVER,SILVER II,False
NA1_4915057846,SILVER,SILVER I,False
NA1_4915067097,SILVER,SILVER I,True
NA1_4918073855,SILVER,SILVER II,True
NA1_4920005810,BRONZE,BRONZE I,True
NA1_4920035604,BRONZE,BRONZE I,False
NA1_4920961537,BRONZE,BRONZE I,True
NA1_4921810956,BRONZE,BRONZE I,True
NA1_4921855232,BRONZE,BRONZE I,True
NA1_4924489436,BRONZE,BRONZE I,False
NA1_4924503391,BRONZE,BRONZE I,True
NA1_4924509587,BRONZE,BRONZE I,True
NA1_4924572794,BRONZE,BRONZE I,True
NA1_4925418018,BRONZE,BRONZE II,True
NA1_4925454698,BRONZE,BRONZE II,False
NA1_4925531389,BRONZE,BRONZE II,False
NA1_4925574487,BRONZE,BRONZE II,False
NA1_4925610719,BRONZE,BRONZE II,True
NA1_4928405056,BRONZE,BRONZE I,False
NA1_4933374283,PLATINUM,PLATINUM IV,False
NA1_4933417239,PLATINUM,PLATINUM IV,True
NA1_4934735149,PLATINUM,PLATINUM III,True
NA1_4934754167,PLATINUM,PLATINUM III,False
NA1_4934770674,PLATINUM,PLATINUM III,False
NA1_4937487342,BRONZE,BRONZE I,True
NA1_4938226807,PLATINUM,PLATINUM III,False
NA1_4938758605,BRONZE,BRONZE I,False
NA1_4939416361,PLATINUM,PLATINUM III,True
NA1_4940153088,PLATINUM,PLATINUM III,False
NA1_4942079333,PLATINUM,PLATINUM III,False
NA1_4944877326,PLATINUM,PLATINUM III,False
NA1_4945685780,BRONZE,BRONZE I,False
NA1_4949820504,SILVER,SILVER II,False
NA1_4951078476,IRON,IRON IV,False
NA1_4951097176,BRONZE,BRONZE IV,True
NA1_4951359655,BRONZE,BRONZE IV,True
NA1_4953576333,SILVER,SILVER I,False
NA1_4953621194,SILVER,SILVER I,False
NA1_4953639339,SILVER,SILVER I,True
NA1_4953696898,SILVER,SILVER I,True
NA1_4953744092,SILVER,SILVER I,True
NA1_4956219908,BRONZE,BRONZE IV,True
NA1_4956279961,BRONZE,BRONZE IV,True
NA1_4956296873,BRONZE,BRONZE IV,True
NA1_4956497006,BRONZE,BRONZE IV,True
NA1_4956692292,BRONZE,BRONZE IV,True
NA1_4958538493,IRON,IRON IV,True
NA1_4960166782,IRON,IRON IV,True
NA1_4960173121,IRON,IRON IV,True
NA1_4961074279,IRON,IRON III,True
NA1_4961101864,IRON,IRON III,False
NA1_4961276030,BRONZE,BRONZE I,True
NA1_4961291351,IRON,IRON III,False
NA1_4961314611,BRONZE,BRONZE I,False
NA1_4963102875,IRON,IRON IV,True
NA1_4963136162,IRON,IRON IV,True
NA1_4963246580,IRON,IRON IV,True
NA1_4963257373,IRON,IRON IV,True
NA1_4965755035,GOLD,GOLD I,True
NA1_4965778402,GOLD,GOLD I,False
NA1_4967250052,IRON,IRON III,True
NA1_4967287394,IRON,IRON III,False
NA1_4967313944,IRON,IRON III,True
NA1_4967350139,IRON,IRON III,True
NA1_4970468487,BRONZE,BRONZE I,False
NA1_4970968746,BRONZE,BRONZE I,True
NA1_4970970205,BRONZE,BRONZE I,True
NA1_4972197996,BRONZE,BRONZE I,False
NA1_4972277123,SILVER,SILVER IV,True
NA1_4974220848,BRONZE,BRONZE I,True
NA1_4974250149,BRONZE,BRONZE I,False
NA1_4974733557,BRONZE,BRONZE IV,False
NA1_4974769610,BRONZE,BRONZE IV,True
NA1_4974804171,BRONZE,BRONZE IV,True
NA1_4977322532,PLATINUM,PLATINUM III,True
NA1_4977372079,PLATINUM,PLATINUM III,True
NA1_4977403073,PLATINUM,PLATINUM III,True
NA1_4977425543,PLATINUM,PLATINUM III,False
NA1_4977460187,PLATINUM,PLATINUM III,False
NA1_4978889294,PLATINUM,PLATINUM III,True
NA1_4978913453,PLATINUM,PLATINUM III,True
NA1_4980205315,IRON,IRON I,True
NA1_4980824928,IRON,IRON I,True
NA1_4980834745,IRON,IRON I,True
NA1_4980862449,IRON,IRON I,True
NA1_4982302394,PLATINUM,PLATINUM II,True
NA1_4982580721,IRON,IRON I,True
NA1_4990228148,BRONZE,BRONZE III,True
NA1_4991397768,SILVER,SILVER II,True
NA1_4995271886,PLATINUM,PLATINUM IV,True
NA1_4995433176,SILVER,SILVER II,False
NA1_4995437249,SILVER,SILVER II,False
NA1_4995468192,SILVER,SILVER II,False
NA1_4995482511,SILVER,SILVER II,False
NA1_4995865051,BRONZE,BRONZE III,False
NA1_4998767827,BRONZE,BRONZE II,True
NA1_4998780559,BRONZE,BRONZE II,False
NA1_5002121501,BRONZE,BRONZE II,False
NA1_5002144872,BRONZE,BRONZE II,True
NA1_5002702750,BRONZE,BRONZE I,True
NA1_5005448072,BRONZE,BRONZE I,True
NA1_5005564206,BRONZE,BRONZE II,False
NA1_5005596440,IRON,IRON III,False
NA1_5006975932,BRONZE,BRONZE IV,False
NA1_5007051600,IRON,IRON III,False
NA1_5007772959,SILVER,SILVER III,True
NA1_5008978545,IRON,IRON IV,True
NA1_5009003703,IRON,IRON IV,True
NA1_5009519156,IRON,IRON IV,True
NA1_5009636763,IRON,IRON IV,False
NA1_5010220684,IRON,IRON IV,False
NA1_5010582434,BRONZE,BRONZE II,True
NA1_5010817961,IRON,IRON IV,False
NA1_5011602689,BRONZE,BRONZE I,False
NA1_5011680896,IRON,IRON IV,False
NA1_5012230824,BRONZE,BRONZE III,False
NA1_5012366832,BRONZE,BRONZE II,True
NA1_5012373183,BRONZE,BRONZE II,True
NA1_5012437356,IRON,IRON IV,False
NA1_5012640671,BRONZE,BRONZE III,False
NA1_5012781005,BRONZE,BRONZE II,False
NA1_5012785212,BRONZE,BRONZE II,False
NA1_5012805979,BRONZE,BRONZE II,True
NA1_5013254750,IRON,IRON IV,True
NA1_5014273233,BRONZE,BRONZE II,True
NA1_5014282668,BRONZE,BRONZE II,False
NA1_5014310262,BRONZE,BRONZE II,True
NA1_5015224314,BRONZE,BRONZE II,True
NA1_5015230108,PLATINUM,PLATINUM IV,True
NA1_5015249493,BRONZE,BRONZE II,False
NA1_5016409763,SILVER,SILVER II,True
NA1_5016596156,SILVER,SILVER II,True
NA1_5016628244,GOLD,GOLD IV,True
NA1_5016640124,SILVER,SILVER II,False
NA1_5016660376,GOLD,GOLD IV,True
NA1_5016681709,GOLD,GOLD IV,True
NA1_5016688231,SILVER,SILVER II,True
NA1_5017242274,BRONZE,BRONZE II,True
NA1_5017267105,SILVER,SILVER II,False
NA1_5017269643,BRONZE,BRONZE II,False
NA1_5017495937,BRONZE,BRONZE IV,True
NA1_5017505240,BRONZE,BRONZE IV,False
NA1_5017771384,SILVER,SILVER II,True
NA1_5018074934,IRON,IRON II,True
NA1_5018138393,BRONZE,BRONZE IV,False
NA1_5019840536,BRONZE,BRONZE IV,True
NA1_5019842222,EMERALD,EMERALD III,False
NA1_5019878487,BRONZE,BRONZE IV,False
NA1_5021087677,SILVER,SILVER II,False
NA1_5021126978,SILVER,SILVER II,True
NA1_5021159757,SILVER,SILVER II,False
NA1_5021251834,SILVER,SILVER II,False
NA1_5023256349,EMERALD,EMERALD III,False
NA1_5024114620,BRONZE,BRONZE II,False
NA1_5024159579,EMERALD,EMERALD III,True
NA1_5024193738,EMERALD,EMERALD III,True
NA1_5024729555,IRON,IRON I,True
NA1_5024758001,IRON,IRON I,True
NA1_5024959199,BRONZE,BRONZE II,True
NA1_5024990236,BRONZE,BRONZE II,False
NA1_5025014453,SILVER,SILVER IV,True
NA1_5026592008,SILVER,SILVER I,False
NA1_5026646385,SILVER,SILVER I,False
NA1_5026655514,SILVER,SILVER I,True
NA1_5026936867,PLATINUM,PLATINUM II,False
NA1_5026962699,PLATINUM,PLATINUM II,True
NA1_5027002128,PLATINUM,PLATINUM II,True
NA1_5027547611,SILVER,SILVER II,False
NA1_5027560485,SILVER,SILVER II,True
NA1_5027593344,SILVER,SILVER II,False
NA1_5028803139,SILVER,SILVER III,True
NA1_5028860176,SILVER,SILVER III,False
NA1_5029128940,SILVER,SILVER III,False
NA1_5029148023,SILVER,SILVER III,True
NA1_5029222859,SILVER,SILVER III,False
NA1_5029228570,SILVER,SILVER III,True
NA1_5029298410,SILVER,SILVER III,True
NA1_5029474871,BRONZE,BRONZE II,False
NA1_5029504001,BRONZE,BRONZE II,True
NA1_5029825489,BRONZE,BRONZE I,True
NA1_5029851682,BRONZE,BRONZE I,False
NA1_5032743886,BRONZE,BRONZE III,True
NA1_5033762950,BRONZE,BRONZE I,True
NA1_5033789124,BRONZE,BRONZE I,True
NA1_5034496605,SILVER,SILVER I,True
NA1_5036988539,SILVER,SILVER I,True
NA1_5037005723,SILVER,SILVER I,False
NA1_5037023143,SILVER,SILVER I,False
NA1_5038070453,SILVER,SILVER IV,True
NA1_5038397268,SILVER,SILVER I,False
NA1_5038414179,SILVER,SILVER I,True
NA1_5038423752,SILVER,SILVER I,False
NA1_5038698906,SILVER,SILVER IV,True
NA1_5038702361,SILVER,SILVER IV,False
NA1_5038738209,SILVER,SILVER IV,True
NA1_5039115570,BRONZE,BRONZE II,False
NA1_5039686340,SILVER,SILVER I,True
NA1_5039723485,SILVER,SILVER I,False
NA1_5039746210,SILVER,SILVER I,True
NA1_5039986894,SILVER,SILVER IV,True
NA1_5040001376,SILVER,SILVER IV,True
NA1_5040127331,IRON,IRON IV,False
NA1_5040281629,SILVER,SILVER I,True
NA1_5040657633,EMERALD,EMERALD II,False
NA1_5040677693,EMERALD,EMERALD II,False
NA1_5040696595,EMERALD,EMERALD II,False
NA1_5046891472,PLATINUM,PLATINUM III,True
NA1_5047081183,SILVER,SILVER I,False
NA1_5047138710,SILVER,SILVER I,False
NA1_5047845250,SILVER,SILVER I,True
NA1_5047880181,SILVER,SILVER I,False
NA1_5054881125,BRONZE,BRONZE IV,False
NA1_5054923230,BRONZE,BRONZE IV,False
NA1_5056702627,IRON,IRON III,True
